X,Y,Z,标注类别名称,预测类别,图像路径
111.30736,37.372272,314.2462,乌龟,乌龟,dataset_split/val/乌龟/0.jpg
-82.236084,-100.54129,269.05548,乌龟,乌龟,dataset_split/val/乌龟/106.jpg
-69.58603,44.685238,226.21083,乌龟,乌龟,dataset_split/val/乌龟/115.jpg
-84.301544,3.763856,314.3833,乌龟,乌龟,dataset_split/val/乌龟/123.jpg
320.9024,-128.44064,-333.51633,乌龟,乌龟,dataset_split/val/乌龟/164.jpg
110.42524,-25.97872,437.7464,乌龟,乌龟,dataset_split/val/乌龟/165.jpg
21.975748,-39.30249,477.74466,乌龟,乌龟,dataset_split/val/乌龟/166.jpg
-40.32756,-62.153618,273.60406,乌龟,乌龟,dataset_split/val/乌龟/177.jpg
77.17427,-66.4473,248.25432,乌龟,乌龟,dataset_split/val/乌龟/183.jpg
50.349964,-0.40242174,422.76138,乌龟,乌龟,dataset_split/val/乌龟/186.jpg
-40.710327,-89.155365,506.88483,乌龟,乌龟,dataset_split/val/乌龟/189.jpg
-68.71403,162.4868,500.67377,乌龟,乌龟,dataset_split/val/乌龟/192.jpg
-88.81046,-100.18763,333.8305,乌龟,乌龟,dataset_split/val/乌龟/198.jpg
0.6789422,-98.62068,353.07437,乌龟,乌龟,dataset_split/val/乌龟/201.jpg
41.32648,82.74515,443.72128,乌龟,乌龟,dataset_split/val/乌龟/208.jpg
-165.95389,27.855215,463.4674,乌龟,乌龟,dataset_split/val/乌龟/211.jpg
-71.0298,-136.31253,407.09717,乌龟,乌龟,dataset_split/val/乌龟/223.jpg
24.835522,21.367752,218.41113,乌龟,乌龟,dataset_split/val/乌龟/228.jpg
104.00389,26.878351,389.4331,乌龟,乌龟,dataset_split/val/乌龟/232.jpg
95.1184,-40.634995,524.563,乌龟,乌龟,dataset_split/val/乌龟/24.jpg
49.05673,-70.562805,421.70267,乌龟,乌龟,dataset_split/val/乌龟/243.jpg
-6.029531,42.136925,478.13132,乌龟,乌龟,dataset_split/val/乌龟/25.jpg
-27.689278,147.94417,420.43634,乌龟,乌龟,dataset_split/val/乌龟/258.jpg
-98.101494,-0.81514215,240.33548,乌龟,乌龟,dataset_split/val/乌龟/264.jpg
-121.92401,-111.889366,478.45743,乌龟,乌龟,dataset_split/val/乌龟/265.jpg
10.890908,-34.461346,576.18713,乌龟,乌龟,dataset_split/val/乌龟/273.jpg
66.379135,14.716466,234.45026,乌龟,乌龟,dataset_split/val/乌龟/285.jpg
-210.33467,-52.46025,365.35162,乌龟,乌龟,dataset_split/val/乌龟/296.jpg
120.454735,-20.00612,144.66045,乌龟,乌龟,dataset_split/val/乌龟/297.jpg
-23.590065,146.19339,316.33896,乌龟,乌龟,dataset_split/val/乌龟/300.jpg
112.4561,100.0991,464.8201,乌龟,乌龟,dataset_split/val/乌龟/306.jpg
-2.804075,253.91185,452.79187,乌龟,乌龟,dataset_split/val/乌龟/315.jpg
-55.4918,-28.105312,442.3153,乌龟,乌龟,dataset_split/val/乌龟/316.jpg
-8.743714,6.2193255,416.3392,乌龟,乌龟,dataset_split/val/乌龟/32.png
-188.35895,-174.95525,83.352234,乌龟,乌龟,dataset_split/val/乌龟/324.jpg
114.53661,77.64253,171.6754,乌龟,乌龟,dataset_split/val/乌龟/328.png
-153.90637,2.572217,282.31464,乌龟,乌龟,dataset_split/val/乌龟/335.png
70.30547,31.134731,479.40326,乌龟,乌龟,dataset_split/val/乌龟/337.jpg
-125.1832,144.1126,501.96396,乌龟,乌龟,dataset_split/val/乌龟/341.jpg
17.56343,-148.17862,493.39572,乌龟,乌龟,dataset_split/val/乌龟/345.jpg
-13.832265,-97.48741,436.49615,乌龟,乌龟,dataset_split/val/乌龟/346.jpg
-85.41869,86.58696,351.9343,乌龟,乌龟,dataset_split/val/乌龟/348.jpg
-138.98477,-108.756134,253.96584,乌龟,乌龟,dataset_split/val/乌龟/35.jpg
-127.21239,136.85376,443.9812,乌龟,乌龟,dataset_split/val/乌龟/36.jpg
-93.31304,102.45502,246.03111,乌龟,乌龟,dataset_split/val/乌龟/368.jpg
115.58167,-84.242065,475.57364,乌龟,乌龟,dataset_split/val/乌龟/371.jpg
-141.59053,117.80652,339.08112,乌龟,乌龟,dataset_split/val/乌龟/374.jpg
11.53533,-16.530375,342.955,乌龟,乌龟,dataset_split/val/乌龟/381.jpg
-50.21184,66.91383,513.3442,乌龟,乌龟,dataset_split/val/乌龟/382.jpg
-18.794098,55.44776,292.11136,乌龟,乌龟,dataset_split/val/乌龟/383.jpg
27.314907,168.6241,438.8604,乌龟,乌龟,dataset_split/val/乌龟/390.jpg
3.5934172,169.52515,508.1941,乌龟,乌龟,dataset_split/val/乌龟/394.jpg
-12.604236,158.2816,194.25017,乌龟,乌龟,dataset_split/val/乌龟/399.jpg
-61.6052,-24.150002,515.5783,乌龟,乌龟,dataset_split/val/乌龟/419.jpg
-102.65064,-187.02252,392.78656,乌龟,乌龟,dataset_split/val/乌龟/428.jpg
6.6403117,-111.27664,287.68066,乌龟,乌龟,dataset_split/val/乌龟/429.jpeg
-25.144457,257.35767,405.5659,乌龟,乌龟,dataset_split/val/乌龟/435.jpg
98.92369,115.37399,357.66568,乌龟,乌龟,dataset_split/val/乌龟/444.jpg
164.37202,-35.534374,268.7116,乌龟,乌龟,dataset_split/val/乌龟/450.jpg
-23.717611,-62.213253,214.92712,乌龟,乌龟,dataset_split/val/乌龟/452.jpg
30.832846,101.254616,503.19315,乌龟,乌龟,dataset_split/val/乌龟/47.jpg
-89.29628,42.311512,416.39233,乌龟,乌龟,dataset_split/val/乌龟/473.jpg
59.043774,129.71704,269.8368,乌龟,乌龟,dataset_split/val/乌龟/489.jpg
-51.463703,-47.602814,383.06134,乌龟,乌龟,dataset_split/val/乌龟/492.jpg
-193.7612,72.28543,199.12035,乌龟,乌龟,dataset_split/val/乌龟/500.jpg
-142.94815,-0.76455575,377.4658,乌龟,乌龟,dataset_split/val/乌龟/51.png
5.1890044,-137.82704,397.3885,乌龟,乌龟,dataset_split/val/乌龟/54.jpg
-31.297821,17.788506,351.09814,乌龟,乌龟,dataset_split/val/乌龟/61.jpeg
-21.23409,119.98552,152.16867,乌龟,乌龟,dataset_split/val/乌龟/63.jpg
8.140452,-20.34878,285.42053,乌龟,乌龟,dataset_split/val/乌龟/64.jpg
42.51771,48.947598,345.78802,乌龟,乌龟,dataset_split/val/乌龟/75.jpg
-88.6112,182.23619,418.80167,乌龟,乌龟,dataset_split/val/乌龟/76.jpg
44.550076,-88.885376,148.64998,乌龟,乌龟,dataset_split/val/乌龟/8.png
-26.087206,212.513,352.4191,乌龟,乌龟,dataset_split/val/乌龟/83.jpg
34.769886,-32.884045,132.563,乌龟,乌龟,dataset_split/val/乌龟/87.jpg
-21.794487,75.93187,379.1814,乌龟,乌龟,dataset_split/val/乌龟/89.jpg
91.1331,-50.299015,348.8026,乌龟,乌龟,dataset_split/val/乌龟/90.jpg
18.275158,8.589738,114.5398,乌龟,乌龟,dataset_split/val/乌龟/97.jpg
-483.2153,210.41858,-101.19493,仓鼠,兔子,dataset_split/val/仓鼠/102.jpg
-44.03054,-13.293553,3.6394734,仓鼠,仓鼠,dataset_split/val/仓鼠/105.jpg
-441.42285,164.34653,-104.88527,仓鼠,仓鼠,dataset_split/val/仓鼠/113.jpg
-146.4225,150.07811,-223.14346,仓鼠,仓鼠,dataset_split/val/仓鼠/115.jpg
-321.6195,188.88026,-345.34995,仓鼠,仓鼠,dataset_split/val/仓鼠/123.jpg
-406.93036,94.08225,-289.43127,仓鼠,仓鼠,dataset_split/val/仓鼠/124.jpg
-305.3558,184.77899,-252.86966,仓鼠,仓鼠,dataset_split/val/仓鼠/125.jpg
-247.92555,105.08991,-144.55344,仓鼠,仓鼠,dataset_split/val/仓鼠/13.jpg
-254.19371,179.41904,-49.250427,仓鼠,仓鼠,dataset_split/val/仓鼠/130.jpg
-388.5158,135.63365,-149.49161,仓鼠,仓鼠,dataset_split/val/仓鼠/143.jpg
-316.59344,246.324,5.0079536,仓鼠,仓鼠,dataset_split/val/仓鼠/152.jpg
-352.1529,105.48046,-43.71499,仓鼠,仓鼠,dataset_split/val/仓鼠/173.jpg
-164.52452,-25.909224,-39.69827,仓鼠,仓鼠,dataset_split/val/仓鼠/174.jpg
-312.71228,119.75299,-106.5961,仓鼠,仓鼠,dataset_split/val/仓鼠/185.jpeg
-265.52643,88.0759,-10.390594,仓鼠,仓鼠,dataset_split/val/仓鼠/187.jpg
-114.57902,10.401046,-68.56439,仓鼠,仓鼠,dataset_split/val/仓鼠/190.jpg
-444.63208,113.36973,-65.340935,仓鼠,仓鼠,dataset_split/val/仓鼠/193.jpeg
-281.14554,97.50705,-265.93472,仓鼠,仓鼠,dataset_split/val/仓鼠/194.jpg
-198.55371,47.28052,-253.9067,仓鼠,仓鼠,dataset_split/val/仓鼠/195.jpg
-37.6353,279.6478,-171.30664,仓鼠,猫,dataset_split/val/仓鼠/199.jpg
-181.22476,12.31519,-130.84111,仓鼠,仓鼠,dataset_split/val/仓鼠/204.jpg
-246.29901,149.46718,-193.74492,仓鼠,仓鼠,dataset_split/val/仓鼠/206.jpg
-350.33862,-127.824036,-143.16682,仓鼠,仓鼠,dataset_split/val/仓鼠/210.jpg
-407.7877,36.496883,-83.46639,仓鼠,仓鼠,dataset_split/val/仓鼠/214.jpg
-298.00876,-33.082745,-82.53768,仓鼠,仓鼠,dataset_split/val/仓鼠/218.jpg
-273.91037,-46.542694,-153.47388,仓鼠,仓鼠,dataset_split/val/仓鼠/220.png
-405.32983,32.43597,-206.42625,仓鼠,仓鼠,dataset_split/val/仓鼠/227.jpg
-283.66574,43.2193,-127.96662,仓鼠,仓鼠,dataset_split/val/仓鼠/230.jpg
-391.84045,-29.317497,-69.11057,仓鼠,仓鼠,dataset_split/val/仓鼠/234.jpg
-284.95627,90.897865,-196.38214,仓鼠,仓鼠,dataset_split/val/仓鼠/235.png
-252.39441,14.005589,-155.6943,仓鼠,仓鼠,dataset_split/val/仓鼠/240.jpg
-401.05835,35.104687,-0.56923765,仓鼠,仓鼠,dataset_split/val/仓鼠/265.jpg
-279.7339,92.76049,-331.2852,仓鼠,仓鼠,dataset_split/val/仓鼠/276.jpg
-133.9506,54.29293,7.9057293,仓鼠,兔子,dataset_split/val/仓鼠/286.jpg
-100.92081,144.89403,108.30315,仓鼠,猫,dataset_split/val/仓鼠/287.jpg
-260.98932,41.44035,-348.86258,仓鼠,仓鼠,dataset_split/val/仓鼠/288.jpg
-298.34122,282.59348,-61.90839,仓鼠,仓鼠,dataset_split/val/仓鼠/292.jpg
-193.55254,81.90522,-163.70618,仓鼠,仓鼠,dataset_split/val/仓鼠/295.jpg
-268.26974,-29.127216,-333.40536,仓鼠,仓鼠,dataset_split/val/仓鼠/308.jpg
-480.38504,-10.689161,-73.60945,仓鼠,仓鼠,dataset_split/val/仓鼠/309.jpeg
206.52603,-248.79997,-288.6556,仓鼠,仓鼠,dataset_split/val/仓鼠/313.jpg
-349.01553,-60.039234,16.165747,仓鼠,仓鼠,dataset_split/val/仓鼠/318.jpg
-75.432076,-137.25198,-426.05536,仓鼠,仓鼠,dataset_split/val/仓鼠/321.jpg
236.39366,-274.52893,-258.51437,仓鼠,仓鼠,dataset_split/val/仓鼠/326.jpg
-146.22133,49.498642,-108.98444,仓鼠,仓鼠,dataset_split/val/仓鼠/329.jpg
-196.4734,27.499357,-406.9783,仓鼠,仓鼠,dataset_split/val/仓鼠/336.jpg
-456.87442,120.77546,-178.08614,仓鼠,仓鼠,dataset_split/val/仓鼠/338.jpg
-351.3587,-22.558,-147.73,仓鼠,仓鼠,dataset_split/val/仓鼠/341.jpeg
-266.46808,10.2187195,-224.05629,仓鼠,仓鼠,dataset_split/val/仓鼠/344.jpeg
-190.97757,159.0851,-48.197315,仓鼠,仓鼠,dataset_split/val/仓鼠/345.jpg
57.611122,46.578426,42.936005,仓鼠,仓鼠,dataset_split/val/仓鼠/347.jpg
-449.7415,-42.840496,-143.46028,仓鼠,仓鼠,dataset_split/val/仓鼠/348.jpg
-84.64547,74.31715,-250.5056,仓鼠,仓鼠,dataset_split/val/仓鼠/35.jpg
-301.76233,205.21518,51.066376,仓鼠,仓鼠,dataset_split/val/仓鼠/352.jpg
-364.4776,122.78283,-202.8592,仓鼠,仓鼠,dataset_split/val/仓鼠/355.jpg
-345.51675,114.07245,72.184586,仓鼠,仓鼠,dataset_split/val/仓鼠/356.jpg
-205.4851,122.547455,-233.88934,仓鼠,仓鼠,dataset_split/val/仓鼠/366.jpg
-226.7279,4.4163046,50.290348,仓鼠,仓鼠,dataset_split/val/仓鼠/369.jpg
-223.06017,-54.202255,-98.10994,仓鼠,仓鼠,dataset_split/val/仓鼠/375.jpg
113.025314,-15.155155,-3.2417548,仓鼠,仓鼠,dataset_split/val/仓鼠/390.jpg
-289.35327,63.067245,-68.97383,仓鼠,仓鼠,dataset_split/val/仓鼠/4.png
-392.2735,182.44264,-56.143635,仓鼠,仓鼠,dataset_split/val/仓鼠/400.jpg
-387.0841,196.59995,-181.3434,仓鼠,仓鼠,dataset_split/val/仓鼠/404.jpg
39.690517,-7.958433,-40.3233,仓鼠,仓鼠,dataset_split/val/仓鼠/408.jpg
-338.23502,-57.37348,-240.92865,仓鼠,仓鼠,dataset_split/val/仓鼠/42.jpg
-167.10378,79.962685,85.35449,仓鼠,仓鼠,dataset_split/val/仓鼠/424.jpg
-393.12125,-89.79106,32.979992,仓鼠,仓鼠,dataset_split/val/仓鼠/433.jpg
-297.69073,185.89665,-138.36734,仓鼠,仓鼠,dataset_split/val/仓鼠/44.jpg
-188.51181,-26.057487,-177.5287,仓鼠,仓鼠,dataset_split/val/仓鼠/444.jpg
-186.97401,62.949974,-28.771738,仓鼠,仓鼠,dataset_split/val/仓鼠/449.jpg
-320.1932,-55.61282,85.09717,仓鼠,仓鼠,dataset_split/val/仓鼠/469.jpg
-112.28105,1.2702575,-203.49821,仓鼠,仓鼠,dataset_split/val/仓鼠/49.jpg
-446.1872,55.627045,-132.82256,仓鼠,仓鼠,dataset_split/val/仓鼠/51.jpg
-444.43762,-71.13055,-229.32095,仓鼠,仓鼠,dataset_split/val/仓鼠/52.jpg
-348.53177,61.525097,-98.67364,仓鼠,仓鼠,dataset_split/val/仓鼠/58.jpeg
-478.4319,45.42144,-218.8019,仓鼠,仓鼠,dataset_split/val/仓鼠/59.jpg
-341.8177,38.19405,-300.8508,仓鼠,仓鼠,dataset_split/val/仓鼠/64.jpg
-318.3152,33.227818,39.826954,仓鼠,仓鼠,dataset_split/val/仓鼠/65.jpg
-236.95676,18.499752,-79.56228,仓鼠,仓鼠,dataset_split/val/仓鼠/7.jpg
-292.62378,-3.573784,-9.5429125,仓鼠,仓鼠,dataset_split/val/仓鼠/71.jpg
-484.35468,58.11302,-36.931004,仓鼠,仓鼠,dataset_split/val/仓鼠/73.jpg
